i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
123;Application_1878239836;4;User_1;9;New credit;Home improvement;15000.0;A_Denied
124;Application_1878239836;8;User_1;9;New credit;Home improvement;15000.0;A_Denied
125;Application_1878239836;3;User_1;9;New credit;Home improvement;15000.0;A_Denied
126;Application_1878239836;20;User_3;9;New credit;Home improvement;15000.0;A_Denied
127;Application_1878239836;0;User_3;9;New credit;Home improvement;15000.0;A_Denied
128;Application_1878239836;12;User_3;9;New credit;Home improvement;15000.0;A_Denied
129;Application_1878239836;13;User_3;9;New credit;Home improvement;15000.0;A_Denied
130;Application_1878239836;15;User_3;9;New credit;Home improvement;15000.0;A_Denied
131;Application_1878239836;18;User_3;9;New credit;Home improvement;15000.0;A_Denied
132;Application_1878239836;2;User_3;9;New credit;Home improvement;15000.0;A_Denied
133;Application_1878239836;24;User_99;9;New credit;Home improvement;15000.0;A_Denied
134;Application_1878239836;9;User_113;9;New credit;Home improvement;15000.0;A_Denied
135;Application_1878239836;14;User_113;9;New credit;Home improvement;15000.0;A_Denied
136;Application_1878239836;5;User_99;9;New credit;Home improvement;15000.0;A_Denied
264;Application_1806387393;4;User_1;628;New credit;Car;5000.0;A_Denied
265;Application_1806387393;8;User_1;628;New credit;Car;5000.0;A_Denied
266;Application_1806387393;21;User_17;628;New credit;Car;5000.0;A_Denied
267;Application_1806387393;20;User_38;628;New credit;Car;5000.0;A_Denied
268;Application_1806387393;3;User_17;628;New credit;Car;5000.0;A_Denied
269;Application_1806387393;20;User_38;628;New credit;Car;5000.0;A_Denied
270;Application_1806387393;0;User_38;628;New credit;Car;5000.0;A_Denied
271;Application_1806387393;12;User_38;628;New credit;Car;5000.0;A_Denied
272;Application_1806387393;13;User_38;628;New credit;Car;5000.0;A_Denied
273;Application_1806387393;15;User_38;628;New credit;Car;5000.0;A_Denied
274;Application_1806387393;18;User_38;628;New credit;Car;5000.0;A_Denied
275;Application_1806387393;2;User_38;628;New credit;Car;5000.0;A_Denied
276;Application_1806387393;24;User_95;628;New credit;Car;5000.0;A_Denied
277;Application_1806387393;9;User_117;628;New credit;Car;5000.0;A_Denied
278;Application_1806387393;14;User_117;628;New credit;Car;5000.0;A_Denied
279;Application_1806387393;5;User_95;628;New credit;Car;5000.0;A_Denied
1380;Application_987262285;4;User_1;18;New credit;Car;6000.0;A_Denied
1381;Application_987262285;8;User_1;18;New credit;Car;6000.0;A_Denied
1382;Application_987262285;21;User_14;18;New credit;Car;6000.0;A_Denied
1383;Application_987262285;20;User_14;18;New credit;Car;6000.0;A_Denied
1384;Application_987262285;3;User_14;18;New credit;Car;6000.0;A_Denied
1385;Application_987262285;0;User_22;18;New credit;Car;6000.0;A_Denied
1386;Application_987262285;12;User_22;18;New credit;Car;6000.0;A_Denied
1387;Application_987262285;13;User_22;18;New credit;Car;6000.0;A_Denied
1388;Application_987262285;15;User_22;18;New credit;Car;6000.0;A_Denied
1389;Application_987262285;18;User_22;18;New credit;Car;6000.0;A_Denied
1390;Application_987262285;2;User_22;18;New credit;Car;6000.0;A_Denied
1391;Application_987262285;24;User_68;18;New credit;Car;6000.0;A_Denied
1392;Application_987262285;9;User_116;18;New credit;Car;6000.0;A_Denied
1393;Application_987262285;14;User_116;18;New credit;Car;6000.0;A_Denied
1394;Application_987262285;5;User_68;18;New credit;Car;6000.0;A_Denied
2072;Application_914660918;4;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2073;Application_914660918;3;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2074;Application_914660918;20;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2075;Application_914660918;0;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2076;Application_914660918;12;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2077;Application_914660918;13;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2078;Application_914660918;15;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2079;Application_914660918;18;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2080;Application_914660918;2;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2081;Application_914660918;24;User_118;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2082;Application_914660918;9;User_118;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2083;Application_914660918;14;User_118;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2084;Application_914660918;5;User_75;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2085;Application_167944225;4;User_1;9;New credit;Existing loan takeover;8000.0;A_Denied
2086;Application_167944225;8;User_1;9;New credit;Existing loan takeover;8000.0;A_Denied
2087;Application_167944225;3;User_1;9;New credit;Existing loan takeover;8000.0;A_Denied
2088;Application_167944225;20;User_16;9;New credit;Existing loan takeover;8000.0;A_Denied
2089;Application_167944225;0;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2090;Application_167944225;12;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2091;Application_167944225;13;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2092;Application_167944225;15;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2093;Application_167944225;18;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2094;Application_167944225;2;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2095;Application_167944225;24;User_112;9;New credit;Existing loan takeover;8000.0;A_Denied
2096;Application_167944225;9;User_112;9;New credit;Existing loan takeover;8000.0;A_Denied
2097;Application_167944225;14;User_112;9;New credit;Existing loan takeover;8000.0;A_Denied
2098;Application_167944225;5;User_99;9;New credit;Existing loan takeover;8000.0;A_Denied
4950;Application_1172125329;4;User_1;54;New credit;Existing loan takeover;6000.0;A_Denied
4951;Application_1172125329;8;User_1;54;New credit;Existing loan takeover;6000.0;A_Denied
4952;Application_1172125329;3;User_1;54;New credit;Existing loan takeover;6000.0;A_Denied
4953;Application_1172125329;20;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4954;Application_1172125329;0;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4955;Application_1172125329;12;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4956;Application_1172125329;13;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4957;Application_1172125329;12;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4958;Application_1172125329;13;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4959;Application_1172125329;15;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4960;Application_1172125329;15;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4961;Application_1172125329;18;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4962;Application_1172125329;2;User_49;54;New credit;Existing loan takeover;6000.0;A_Denied
4963;Application_1172125329;24;User_113;54;New credit;Existing loan takeover;6000.0;A_Denied
4964;Application_1172125329;9;User_113;54;New credit;Existing loan takeover;6000.0;A_Denied
4965;Application_1172125329;14;User_113;54;New credit;Existing loan takeover;6000.0;A_Denied
4966;Application_1172125329;5;User_115;54;New credit;Existing loan takeover;6000.0;A_Denied
4967;Application_1931792282;4;User_1;85;New credit;Home improvement;7000.0;A_Denied
4968;Application_1931792282;8;User_1;85;New credit;Home improvement;7000.0;A_Denied
4969;Application_1931792282;3;User_1;85;New credit;Home improvement;7000.0;A_Denied
4970;Application_1931792282;20;User_71;85;New credit;Home improvement;7000.0;A_Denied
4971;Application_1931792282;0;User_10;85;New credit;Home improvement;7000.0;A_Denied
4972;Application_1931792282;12;User_10;85;New credit;Home improvement;7000.0;A_Denied
4973;Application_1931792282;13;User_10;85;New credit;Home improvement;7000.0;A_Denied
4974;Application_1931792282;15;User_10;85;New credit;Home improvement;7000.0;A_Denied
4975;Application_1931792282;18;User_10;85;New credit;Home improvement;7000.0;A_Denied
4976;Application_1931792282;2;User_10;85;New credit;Home improvement;7000.0;A_Denied
4977;Application_1931792282;5;User_2;85;New credit;Home improvement;7000.0;A_Denied
5018;Application_125495187;4;User_1;18;New credit;Existing loan takeover;5000.0;A_Denied
5019;Application_125495187;8;User_1;18;New credit;Existing loan takeover;5000.0;A_Denied
5020;Application_125495187;21;User_4;18;New credit;Existing loan takeover;5000.0;A_Denied
5021;Application_125495187;20;User_21;18;New credit;Existing loan takeover;5000.0;A_Denied
5022;Application_125495187;3;User_4;18;New credit;Existing loan takeover;5000.0;A_Denied
5023;Application_125495187;0;User_21;18;New credit;Existing loan takeover;5000.0;A_Denied
5024;Application_125495187;12;User_21;18;New credit;Existing loan takeover;5000.0;A_Denied
5025;Application_125495187;13;User_21;18;New credit;Existing loan takeover;5000.0;A_Denied
5026;Application_125495187;15;User_21;18;New credit;Existing loan takeover;5000.0;A_Denied
5027;Application_125495187;18;User_21;18;New credit;Existing loan takeover;5000.0;A_Denied
5028;Application_125495187;2;User_21;18;New credit;Existing loan takeover;5000.0;A_Denied
5029;Application_125495187;24;User_95;18;New credit;Existing loan takeover;5000.0;A_Denied
5030;Application_125495187;9;User_113;18;New credit;Existing loan takeover;5000.0;A_Denied
5031;Application_125495187;14;User_113;18;New credit;Existing loan takeover;5000.0;A_Denied
5032;Application_125495187;5;User_95;18;New credit;Existing loan takeover;5000.0;A_Denied
5214;Application_1853222107;4;User_1;18;New credit;Car;19763.0;A_Denied
5215;Application_1853222107;8;User_1;18;New credit;Car;19763.0;A_Denied
5216;Application_1853222107;21;User_4;18;New credit;Car;19763.0;A_Denied
5217;Application_1853222107;20;User_4;18;New credit;Car;19763.0;A_Denied
5218;Application_1853222107;3;User_4;18;New credit;Car;19763.0;A_Denied
5219;Application_1853222107;0;User_47;18;New credit;Car;19763.0;A_Denied
5220;Application_1853222107;12;User_33;18;New credit;Car;19763.0;A_Denied
5221;Application_1853222107;13;User_33;18;New credit;Car;19763.0;A_Denied
5222;Application_1853222107;15;User_33;18;New credit;Car;19763.0;A_Denied
5223;Application_1853222107;18;User_33;18;New credit;Car;19763.0;A_Denied
5224;Application_1853222107;2;User_33;18;New credit;Car;19763.0;A_Denied
5225;Application_1853222107;24;User_99;18;New credit;Car;19763.0;A_Denied
5226;Application_1853222107;9;User_117;18;New credit;Car;19763.0;A_Denied
5227;Application_1853222107;14;User_117;18;New credit;Car;19763.0;A_Denied
5228;Application_1853222107;5;User_99;18;New credit;Car;19763.0;A_Denied
5489;Application_987213908;4;User_1;144;New credit;Car;15000.0;A_Denied
5490;Application_987213908;8;User_1;144;New credit;Car;15000.0;A_Denied
5491;Application_987213908;21;User_14;144;New credit;Car;15000.0;A_Denied
5492;Application_987213908;20;User_37;144;New credit;Car;15000.0;A_Denied
5493;Application_987213908;3;User_14;144;New credit;Car;15000.0;A_Denied
5494;Application_987213908;0;User_37;144;New credit;Car;15000.0;A_Denied
5495;Application_987213908;12;User_37;144;New credit;Car;15000.0;A_Denied
5496;Application_987213908;13;User_37;144;New credit;Car;15000.0;A_Denied
5497;Application_987213908;15;User_37;144;New credit;Car;15000.0;A_Denied
5498;Application_987213908;18;User_37;144;New credit;Car;15000.0;A_Denied
5499;Application_987213908;2;User_37;144;New credit;Car;15000.0;A_Denied
5500;Application_987213908;24;User_29;144;New credit;Car;15000.0;A_Denied
5501;Application_987213908;9;User_118;144;New credit;Car;15000.0;A_Denied
5502;Application_987213908;14;User_118;144;New credit;Car;15000.0;A_Denied
5503;Application_987213908;19;User_29;144;New credit;Car;15000.0;A_Denied
5504;Application_987213908;6;User_29;144;New credit;Car;15000.0;A_Denied
5505;Application_987213908;5;User_27;144;New credit;Car;15000.0;A_Denied
5624;Application_1562741414;4;User_1;26;New credit;Home improvement;10000.0;A_Pending
5625;Application_1562741414;8;User_1;26;New credit;Home improvement;10000.0;A_Pending
5626;Application_1562741414;3;User_1;26;New credit;Home improvement;10000.0;A_Pending
5627;Application_1562741414;0;User_10;26;New credit;Home improvement;10000.0;A_Pending
5628;Application_1562741414;12;User_10;26;New credit;Home improvement;10000.0;A_Pending
5629;Application_1562741414;13;User_10;26;New credit;Home improvement;10000.0;A_Pending
5630;Application_1562741414;15;User_10;26;New credit;Home improvement;10000.0;A_Pending
5631;Application_1562741414;18;User_10;26;New credit;Home improvement;10000.0;A_Pending
5632;Application_1562741414;2;User_10;26;New credit;Home improvement;10000.0;A_Pending
5633;Application_1562741414;24;User_114;26;New credit;Home improvement;10000.0;A_Pending
5634;Application_1562741414;9;User_114;26;New credit;Home improvement;10000.0;A_Pending
5635;Application_1562741414;14;User_114;26;New credit;Home improvement;10000.0;A_Pending
5636;Application_1562741414;10;User_29;26;New credit;Home improvement;10000.0;A_Pending
5637;Application_1562741414;7;User_29;26;New credit;Home improvement;10000.0;A_Pending
5719;Application_74089970;4;User_1;183;New credit;Existing loan takeover;15000.0;A_Denied
5720;Application_74089970;8;User_1;183;New credit;Existing loan takeover;15000.0;A_Denied
5721;Application_74089970;3;User_1;183;New credit;Existing loan takeover;15000.0;A_Denied
5722;Application_74089970;20;User_37;183;New credit;Existing loan takeover;15000.0;A_Denied
5723;Application_74089970;0;User_37;183;New credit;Existing loan takeover;15000.0;A_Denied
5724;Application_74089970;12;User_37;183;New credit;Existing loan takeover;15000.0;A_Denied
5725;Application_74089970;13;User_37;183;New credit;Existing loan takeover;15000.0;A_Denied
5726;Application_74089970;5;User_37;183;New credit;Existing loan takeover;15000.0;A_Denied
6395;Application_1470184564;4;User_1;18;New credit;Other, see explanation;5000.0;A_Denied
6396;Application_1470184564;8;User_1;18;New credit;Other, see explanation;5000.0;A_Denied
6397;Application_1470184564;21;User_4;18;New credit;Other, see explanation;5000.0;A_Denied
6398;Application_1470184564;20;User_4;18;New credit;Other, see explanation;5000.0;A_Denied
6399;Application_1470184564;3;User_4;18;New credit;Other, see explanation;5000.0;A_Denied
6400;Application_1470184564;0;User_44;18;New credit;Other, see explanation;5000.0;A_Denied
6401;Application_1470184564;12;User_44;18;New credit;Other, see explanation;5000.0;A_Denied
6402;Application_1470184564;13;User_44;18;New credit;Other, see explanation;5000.0;A_Denied
6403;Application_1470184564;15;User_44;18;New credit;Other, see explanation;5000.0;A_Denied
6404;Application_1470184564;18;User_44;18;New credit;Other, see explanation;5000.0;A_Denied
6405;Application_1470184564;2;User_44;18;New credit;Other, see explanation;5000.0;A_Denied
6406;Application_1470184564;24;User_30;18;New credit;Other, see explanation;5000.0;A_Denied
6407;Application_1470184564;9;User_114;18;New credit;Other, see explanation;5000.0;A_Denied
