i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
354;Application_319587802;4;User_1;313;New credit;Car;7000.0;A_Denied
355;Application_319587802;8;User_1;313;New credit;Car;7000.0;A_Denied
356;Application_319587802;21;User_17;313;New credit;Car;7000.0;A_Denied
357;Application_319587802;20;User_108;313;New credit;Car;7000.0;A_Denied
358;Application_319587802;3;User_17;313;New credit;Car;7000.0;A_Denied
359;Application_319587802;0;User_108;313;New credit;Car;7000.0;A_Denied
360;Application_319587802;12;User_108;313;New credit;Car;7000.0;A_Denied
361;Application_319587802;13;User_108;313;New credit;Car;7000.0;A_Denied
362;Application_319587802;12;User_108;313;New credit;Car;7000.0;A_Denied
363;Application_319587802;13;User_108;313;New credit;Car;7000.0;A_Denied
364;Application_319587802;15;User_108;313;New credit;Car;7000.0;A_Denied
365;Application_319587802;15;User_108;313;New credit;Car;7000.0;A_Denied
366;Application_319587802;18;User_108;313;New credit;Car;7000.0;A_Denied
367;Application_319587802;2;User_108;313;New credit;Car;7000.0;A_Denied
368;Application_319587802;12;User_10;313;New credit;Car;7000.0;A_Denied
369;Application_319587802;13;User_10;313;New credit;Car;7000.0;A_Denied
370;Application_319587802;15;User_10;313;New credit;Car;7000.0;A_Denied
371;Application_319587802;24;User_29;313;New credit;Car;7000.0;A_Denied
372;Application_319587802;9;User_113;313;New credit;Car;7000.0;A_Denied
373;Application_319587802;14;User_113;313;New credit;Car;7000.0;A_Denied
374;Application_319587802;5;User_29;313;New credit;Car;7000.0;A_Denied
1917;Application_58755651;4;User_1;1133;New credit;Home improvement;50000.0;A_Denied
1918;Application_58755651;8;User_1;1133;New credit;Home improvement;50000.0;A_Denied
1919;Application_58755651;3;User_1;1133;New credit;Home improvement;50000.0;A_Denied
1920;Application_58755651;20;User_19;1133;New credit;Home improvement;50000.0;A_Denied
1921;Application_58755651;0;User_19;1133;New credit;Home improvement;50000.0;A_Denied
1922;Application_58755651;12;User_19;1133;New credit;Home improvement;50000.0;A_Denied
1923;Application_58755651;13;User_19;1133;New credit;Home improvement;50000.0;A_Denied
1924;Application_58755651;15;User_19;1133;New credit;Home improvement;50000.0;A_Denied
1925;Application_58755651;18;User_19;1133;New credit;Home improvement;50000.0;A_Denied
1926;Application_58755651;2;User_19;1133;New credit;Home improvement;50000.0;A_Denied
1927;Application_58755651;12;User_7;1133;New credit;Home improvement;50000.0;A_Denied
1928;Application_58755651;13;User_7;1133;New credit;Home improvement;50000.0;A_Denied
1929;Application_58755651;16;User_7;1133;New credit;Home improvement;50000.0;A_Denied
1930;Application_58755651;12;User_85;1133;New credit;Home improvement;50000.0;A_Denied
1931;Application_58755651;13;User_85;1133;New credit;Home improvement;50000.0;A_Denied
