i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
1280;Application_1588619628;4;User_1;214;New credit;Home improvement;24000.0;A_Cancelled
1281;Application_1588619628;8;User_1;214;New credit;Home improvement;24000.0;A_Cancelled
1282;Application_1588619628;21;User_14;214;New credit;Home improvement;24000.0;A_Cancelled
1283;Application_1588619628;20;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1284;Application_1588619628;3;User_14;214;New credit;Home improvement;24000.0;A_Cancelled
1285;Application_1588619628;0;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1286;Application_1588619628;12;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1287;Application_1588619628;13;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1288;Application_1588619628;12;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1289;Application_1588619628;13;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1290;Application_1588619628;15;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1291;Application_1588619628;15;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1292;Application_1588619628;18;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1293;Application_1588619628;2;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1294;Application_1588619628;12;User_8;214;New credit;Home improvement;24000.0;A_Cancelled
1295;Application_1588619628;13;User_8;214;New credit;Home improvement;24000.0;A_Cancelled
1296;Application_1588619628;15;User_8;214;New credit;Home improvement;24000.0;A_Cancelled
1297;Application_1588619628;1;User_1;214;New credit;Home improvement;24000.0;A_Cancelled
3748;Application_1151254747;4;User_1;214;New credit;Other, see explanation;5000.0;A_Cancelled
3749;Application_1151254747;8;User_1;214;New credit;Other, see explanation;5000.0;A_Cancelled
3750;Application_1151254747;21;User_5;214;New credit;Other, see explanation;5000.0;A_Cancelled
3751;Application_1151254747;20;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3752;Application_1151254747;3;User_5;214;New credit;Other, see explanation;5000.0;A_Cancelled
3753;Application_1151254747;0;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3754;Application_1151254747;12;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3755;Application_1151254747;13;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3756;Application_1151254747;12;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3757;Application_1151254747;13;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3758;Application_1151254747;15;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3759;Application_1151254747;15;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3760;Application_1151254747;18;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3761;Application_1151254747;2;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3762;Application_1151254747;12;User_8;214;New credit;Other, see explanation;5000.0;A_Cancelled
3763;Application_1151254747;13;User_8;214;New credit;Other, see explanation;5000.0;A_Cancelled
3764;Application_1151254747;15;User_8;214;New credit;Other, see explanation;5000.0;A_Cancelled
3765;Application_1151254747;1;User_1;214;New credit;Other, see explanation;5000.0;A_Cancelled
7777;Application_1476922534;4;User_1;1162;New credit;Car;6000.0;A_Pending
7778;Application_1476922534;8;User_1;1162;New credit;Car;6000.0;A_Pending
7779;Application_1476922534;3;User_1;1162;New credit;Car;6000.0;A_Pending
7780;Application_1476922534;20;User_38;1162;New credit;Car;6000.0;A_Pending
7781;Application_1476922534;0;User_38;1162;New credit;Car;6000.0;A_Pending
7782;Application_1476922534;12;User_38;1162;New credit;Car;6000.0;A_Pending
7783;Application_1476922534;13;User_38;1162;New credit;Car;6000.0;A_Pending
7784;Application_1476922534;15;User_38;1162;New credit;Car;6000.0;A_Pending
7785;Application_1476922534;18;User_38;1162;New credit;Car;6000.0;A_Pending
7786;Application_1476922534;2;User_38;1162;New credit;Car;6000.0;A_Pending
7787;Application_1476922534;12;User_34;1162;New credit;Car;6000.0;A_Pending
7788;Application_1476922534;13;User_34;1162;New credit;Car;6000.0;A_Pending
7789;Application_1476922534;15;User_34;1162;New credit;Car;6000.0;A_Pending
7790;Application_1476922534;12;User_28;1162;New credit;Car;6000.0;A_Pending
7791;Application_1476922534;13;User_28;1162;New credit;Car;6000.0;A_Pending
7792;Application_1476922534;15;User_28;1162;New credit;Car;6000.0;A_Pending
7793;Application_1476922534;24;User_116;1162;New credit;Car;6000.0;A_Pending
7794;Application_1476922534;9;User_116;1162;New credit;Car;6000.0;A_Pending
7795;Application_1476922534;14;User_116;1162;New credit;Car;6000.0;A_Pending
7796;Application_1476922534;19;User_100;1162;New credit;Car;6000.0;A_Pending
