i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
1337;Application_1624825294;4;User_1;63;New credit;Car;5000.0;A_Cancelled
1338;Application_1624825294;8;User_1;63;New credit;Car;5000.0;A_Cancelled
1339;Application_1624825294;21;User_14;63;New credit;Car;5000.0;A_Cancelled
1340;Application_1624825294;20;User_14;63;New credit;Car;5000.0;A_Cancelled
1341;Application_1624825294;3;User_14;63;New credit;Car;5000.0;A_Cancelled
1342;Application_1624825294;0;User_11;63;New credit;Car;5000.0;A_Cancelled
1343;Application_1624825294;12;User_11;63;New credit;Car;5000.0;A_Cancelled
1344;Application_1624825294;13;User_11;63;New credit;Car;5000.0;A_Cancelled
1345;Application_1624825294;15;User_11;63;New credit;Car;5000.0;A_Cancelled
1346;Application_1624825294;18;User_11;63;New credit;Car;5000.0;A_Cancelled
1347;Application_1624825294;2;User_11;63;New credit;Car;5000.0;A_Cancelled
1348;Application_1624825294;24;User_99;63;New credit;Car;5000.0;A_Cancelled
1349;Application_1624825294;9;User_113;63;New credit;Car;5000.0;A_Cancelled
1350;Application_1624825294;14;User_113;63;New credit;Car;5000.0;A_Cancelled
1351;Application_1624825294;19;User_2;63;New credit;Car;5000.0;A_Cancelled
1352;Application_1624825294;6;User_99;63;New credit;Car;5000.0;A_Cancelled
1353;Application_1624825294;1;User_2;63;New credit;Car;5000.0;A_Cancelled
2923;Application_1044911465;4;User_1;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2924;Application_1044911465;8;User_1;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2925;Application_1044911465;21;User_3;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2926;Application_1044911465;20;User_3;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2927;Application_1044911465;3;User_3;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2928;Application_1044911465;0;User_3;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2929;Application_1044911465;12;User_3;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2930;Application_1044911465;13;User_3;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2931;Application_1044911465;15;User_3;45;New credit;Existing loan takeover;19500.0;A_Cancelled
2932;Application_1044911465;18;User_3;45;New credit;Existing loan takeover;19500.0;A_Cancelled
