i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
7777;Application_1476922534;4;User_1;1162;New credit;Car;6000.0;A_Pending
7778;Application_1476922534;8;User_1;1162;New credit;Car;6000.0;A_Pending
7779;Application_1476922534;3;User_1;1162;New credit;Car;6000.0;A_Pending
7780;Application_1476922534;20;User_38;1162;New credit;Car;6000.0;A_Pending
7781;Application_1476922534;0;User_38;1162;New credit;Car;6000.0;A_Pending
7782;Application_1476922534;12;User_38;1162;New credit;Car;6000.0;A_Pending
7783;Application_1476922534;13;User_38;1162;New credit;Car;6000.0;A_Pending
7784;Application_1476922534;15;User_38;1162;New credit;Car;6000.0;A_Pending
7785;Application_1476922534;18;User_38;1162;New credit;Car;6000.0;A_Pending
7786;Application_1476922534;2;User_38;1162;New credit;Car;6000.0;A_Pending
7787;Application_1476922534;12;User_34;1162;New credit;Car;6000.0;A_Pending
7788;Application_1476922534;13;User_34;1162;New credit;Car;6000.0;A_Pending
7789;Application_1476922534;15;User_34;1162;New credit;Car;6000.0;A_Pending
7790;Application_1476922534;12;User_28;1162;New credit;Car;6000.0;A_Pending
7791;Application_1476922534;13;User_28;1162;New credit;Car;6000.0;A_Pending
7792;Application_1476922534;15;User_28;1162;New credit;Car;6000.0;A_Pending
7793;Application_1476922534;24;User_116;1162;New credit;Car;6000.0;A_Pending
7794;Application_1476922534;9;User_116;1162;New credit;Car;6000.0;A_Pending
7795;Application_1476922534;14;User_116;1162;New credit;Car;6000.0;A_Pending
7796;Application_1476922534;19;User_100;1162;New credit;Car;6000.0;A_Pending
7797;Application_1476922534;6;User_100;1162;New credit;Car;6000.0;A_Pending
7798;Application_1476922534;12;User_31;1162;New credit;Car;6000.0;A_Pending
7799;Application_1476922534;13;User_31;1162;New credit;Car;6000.0;A_Pending
7800;Application_1476922534;15;User_31;1162;New credit;Car;6000.0;A_Pending
7801;Application_1476922534;24;User_116;1162;New credit;Car;6000.0;A_Pending
7802;Application_1476922534;9;User_116;1162;New credit;Car;6000.0;A_Pending
7803;Application_1476922534;14;User_100;1162;New credit;Car;6000.0;A_Pending
7804;Application_1476922534;19;User_100;1162;New credit;Car;6000.0;A_Pending
7805;Application_1476922534;6;User_100;1162;New credit;Car;6000.0;A_Pending
7806;Application_1476922534;10;User_99;1162;New credit;Car;6000.0;A_Pending
7807;Application_1476922534;7;User_99;1162;New credit;Car;6000.0;A_Pending
10189;Application_61478633;4;User_12;1063;New credit;Existing loan takeover;7500.0;A_Pending
10190;Application_61478633;20;User_12;1063;New credit;Existing loan takeover;7500.0;A_Pending
10191;Application_61478633;3;User_12;1063;New credit;Existing loan takeover;7500.0;A_Pending
