i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
406;Application_196483749;4;User_17;1124;New credit;Car;10000.0;A_Cancelled
407;Application_196483749;20;User_17;1124;New credit;Car;10000.0;A_Cancelled
408;Application_196483749;3;User_17;1124;New credit;Car;10000.0;A_Cancelled
409;Application_196483749;0;User_17;1124;New credit;Car;10000.0;A_Cancelled
410;Application_196483749;12;User_17;1124;New credit;Car;10000.0;A_Cancelled
411;Application_196483749;13;User_17;1124;New credit;Car;10000.0;A_Cancelled
412;Application_196483749;16;User_17;1124;New credit;Car;10000.0;A_Cancelled
413;Application_196483749;18;User_17;1124;New credit;Car;10000.0;A_Cancelled
414;Application_196483749;2;User_17;1124;New credit;Car;10000.0;A_Cancelled
415;Application_196483749;11;User_17;1124;New credit;Car;10000.0;A_Cancelled
416;Application_196483749;12;User_17;1124;New credit;Car;10000.0;A_Cancelled
417;Application_196483749;13;User_17;1124;New credit;Car;10000.0;A_Cancelled
418;Application_196483749;15;User_17;1124;New credit;Car;10000.0;A_Cancelled
419;Application_196483749;12;User_17;1124;New credit;Car;10000.0;A_Cancelled
420;Application_196483749;13;User_17;1124;New credit;Car;10000.0;A_Cancelled
421;Application_196483749;15;User_17;1124;New credit;Car;10000.0;A_Cancelled
422;Application_196483749;12;User_8;1124;New credit;Car;10000.0;A_Cancelled
423;Application_196483749;13;User_8;1124;New credit;Car;10000.0;A_Cancelled
424;Application_196483749;15;User_8;1124;New credit;Car;10000.0;A_Cancelled
425;Application_196483749;1;User_1;1124;New credit;Car;10000.0;A_Cancelled
1106;Application_1825104006;4;User_1;798;New credit;Car;15000.0;A_Cancelled
1107;Application_1825104006;8;User_1;798;New credit;Car;15000.0;A_Cancelled
1108;Application_1825104006;3;User_1;798;New credit;Car;15000.0;A_Cancelled
1109;Application_1825104006;20;User_16;798;New credit;Car;15000.0;A_Cancelled
1110;Application_1825104006;0;User_31;798;New credit;Car;15000.0;A_Cancelled
1111;Application_1825104006;12;User_31;798;New credit;Car;15000.0;A_Cancelled
1112;Application_1825104006;13;User_31;798;New credit;Car;15000.0;A_Cancelled
1113;Application_1825104006;12;User_31;798;New credit;Car;15000.0;A_Cancelled
1114;Application_1825104006;13;User_31;798;New credit;Car;15000.0;A_Cancelled
