i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
154;Application_1710223761;4;User_1;1;New credit;Car;11000.0;A_Cancelled
155;Application_1710223761;8;User_1;1;New credit;Car;11000.0;A_Cancelled
156;Application_1710223761;3;User_1;1;New credit;Car;11000.0;A_Cancelled
157;Application_1710223761;20;User_17;1;New credit;Car;11000.0;A_Cancelled
158;Application_1710223761;0;User_3;1;New credit;Car;11000.0;A_Cancelled
159;Application_1710223761;12;User_3;1;New credit;Car;11000.0;A_Cancelled
160;Application_1710223761;13;User_3;1;New credit;Car;11000.0;A_Cancelled
161;Application_1710223761;15;User_3;1;New credit;Car;11000.0;A_Cancelled
162;Application_1710223761;18;User_3;1;New credit;Car;11000.0;A_Cancelled
163;Application_1710223761;2;User_3;1;New credit;Car;11000.0;A_Cancelled
164;Application_1710223761;1;User_1;1;New credit;Car;11000.0;A_Cancelled
253;Application_1966208034;4;User_1;1;New credit;Remaining debt home;40000.0;A_Cancelled
254;Application_1966208034;8;User_1;1;New credit;Remaining debt home;40000.0;A_Cancelled
255;Application_1966208034;3;User_1;1;New credit;Remaining debt home;40000.0;A_Cancelled
256;Application_1966208034;20;User_19;1;New credit;Remaining debt home;40000.0;A_Cancelled
257;Application_1966208034;0;User_19;1;New credit;Remaining debt home;40000.0;A_Cancelled
258;Application_1966208034;12;User_19;1;New credit;Remaining debt home;40000.0;A_Cancelled
259;Application_1966208034;13;User_19;1;New credit;Remaining debt home;40000.0;A_Cancelled
260;Application_1966208034;15;User_19;1;New credit;Remaining debt home;40000.0;A_Cancelled
261;Application_1966208034;18;User_19;1;New credit;Remaining debt home;40000.0;A_Cancelled
262;Application_1966208034;2;User_19;1;New credit;Remaining debt home;40000.0;A_Cancelled
263;Application_1966208034;1;User_1;1;New credit;Remaining debt home;40000.0;A_Cancelled
280;Application_1111870538;4;User_1;1;New credit;Not speficied;5000.0;A_Cancelled
281;Application_1111870538;8;User_1;1;New credit;Not speficied;5000.0;A_Cancelled
282;Application_1111870538;3;User_1;1;New credit;Not speficied;5000.0;A_Cancelled
283;Application_1111870538;20;User_43;1;New credit;Not speficied;5000.0;A_Cancelled
284;Application_1111870538;0;User_43;1;New credit;Not speficied;5000.0;A_Cancelled
285;Application_1111870538;12;User_43;1;New credit;Not speficied;5000.0;A_Cancelled
286;Application_1111870538;13;User_43;1;New credit;Not speficied;5000.0;A_Cancelled
287;Application_1111870538;15;User_43;1;New credit;Not speficied;5000.0;A_Cancelled
288;Application_1111870538;18;User_43;1;New credit;Not speficied;5000.0;A_Cancelled
289;Application_1111870538;2;User_43;1;New credit;Not speficied;5000.0;A_Cancelled
290;Application_1111870538;1;User_8;1;New credit;Not speficied;5000.0;A_Cancelled
291;Application_1017492916;4;User_1;1;New credit;Car;15000.0;A_Cancelled
292;Application_1017492916;8;User_1;1;New credit;Car;15000.0;A_Cancelled
293;Application_1017492916;3;User_1;1;New credit;Car;15000.0;A_Cancelled
294;Application_1017492916;20;User_17;1;New credit;Car;15000.0;A_Cancelled
295;Application_1017492916;0;User_38;1;New credit;Car;15000.0;A_Cancelled
296;Application_1017492916;12;User_38;1;New credit;Car;15000.0;A_Cancelled
297;Application_1017492916;13;User_38;1;New credit;Car;15000.0;A_Cancelled
298;Application_1017492916;15;User_38;1;New credit;Car;15000.0;A_Cancelled
299;Application_1017492916;18;User_38;1;New credit;Car;15000.0;A_Cancelled
300;Application_1017492916;2;User_38;1;New credit;Car;15000.0;A_Cancelled
301;Application_1017492916;1;User_1;1;New credit;Car;15000.0;A_Cancelled
426;Application_1363980603;4;User_1;1;New credit;Car;7500.0;A_Cancelled
427;Application_1363980603;8;User_1;1;New credit;Car;7500.0;A_Cancelled
428;Application_1363980603;3;User_1;1;New credit;Car;7500.0;A_Cancelled
429;Application_1363980603;20;User_16;1;New credit;Car;7500.0;A_Cancelled
430;Application_1363980603;0;User_19;1;New credit;Car;7500.0;A_Cancelled
431;Application_1363980603;12;User_19;1;New credit;Car;7500.0;A_Cancelled
432;Application_1363980603;13;User_19;1;New credit;Car;7500.0;A_Cancelled
433;Application_1363980603;15;User_19;1;New credit;Car;7500.0;A_Cancelled
434;Application_1363980603;18;User_19;1;New credit;Car;7500.0;A_Cancelled
435;Application_1363980603;2;User_19;1;New credit;Car;7500.0;A_Cancelled
436;Application_1363980603;1;User_112;1;New credit;Car;7500.0;A_Cancelled
936;Application_1118236712;4;User_1;1;New credit;Existing loan takeover;15000.0;A_Cancelled
937;Application_1118236712;8;User_1;1;New credit;Existing loan takeover;15000.0;A_Cancelled
938;Application_1118236712;3;User_1;1;New credit;Existing loan takeover;15000.0;A_Cancelled
939;Application_1118236712;20;User_108;1;New credit;Existing loan takeover;15000.0;A_Cancelled
940;Application_1118236712;0;User_108;1;New credit;Existing loan takeover;15000.0;A_Cancelled
941;Application_1118236712;12;User_108;1;New credit;Existing loan takeover;15000.0;A_Cancelled
942;Application_1118236712;13;User_108;1;New credit;Existing loan takeover;15000.0;A_Cancelled
943;Application_1118236712;15;User_108;1;New credit;Existing loan takeover;15000.0;A_Cancelled
944;Application_1118236712;18;User_108;1;New credit;Existing loan takeover;15000.0;A_Cancelled
945;Application_1118236712;2;User_108;1;New credit;Existing loan takeover;15000.0;A_Cancelled
946;Application_1118236712;1;User_1;1;New credit;Existing loan takeover;15000.0;A_Cancelled
1452;Application_798605556;4;User_1;1;New credit;Home improvement;35000.0;A_Cancelled
1453;Application_798605556;8;User_1;1;New credit;Home improvement;35000.0;A_Cancelled
1454;Application_798605556;3;User_1;1;New credit;Home improvement;35000.0;A_Cancelled
1455;Application_798605556;20;User_38;1;New credit;Home improvement;35000.0;A_Cancelled
1456;Application_798605556;0;User_38;1;New credit;Home improvement;35000.0;A_Cancelled
1457;Application_798605556;12;User_38;1;New credit;Home improvement;35000.0;A_Cancelled
1458;Application_798605556;13;User_38;1;New credit;Home improvement;35000.0;A_Cancelled
1459;Application_798605556;15;User_38;1;New credit;Home improvement;35000.0;A_Cancelled
1460;Application_798605556;18;User_38;1;New credit;Home improvement;35000.0;A_Cancelled
1461;Application_798605556;2;User_38;1;New credit;Home improvement;35000.0;A_Cancelled
1462;Application_798605556;1;User_10;1;New credit;Home improvement;35000.0;A_Cancelled
1883;Application_2002564265;4;User_1;1;New credit;Car;5000.0;A_Cancelled
1884;Application_2002564265;8;User_1;1;New credit;Car;5000.0;A_Cancelled
1885;Application_2002564265;3;User_1;1;New credit;Car;5000.0;A_Cancelled
1886;Application_2002564265;20;User_89;1;New credit;Car;5000.0;A_Cancelled
1887;Application_2002564265;0;User_11;1;New credit;Car;5000.0;A_Cancelled
1888;Application_2002564265;12;User_11;1;New credit;Car;5000.0;A_Cancelled
1889;Application_2002564265;13;User_11;1;New credit;Car;5000.0;A_Cancelled
1890;Application_2002564265;15;User_11;1;New credit;Car;5000.0;A_Cancelled
1891;Application_2002564265;18;User_11;1;New credit;Car;5000.0;A_Cancelled
1892;Application_2002564265;2;User_11;1;New credit;Car;5000.0;A_Cancelled
1893;Application_2002564265;1;User_92;1;New credit;Car;5000.0;A_Cancelled
2506;Application_54405635;4;User_47;13;Limit raise;Other, see explanation;6000.0;A_Cancelled
2507;Application_54405635;3;User_47;13;Limit raise;Other, see explanation;6000.0;A_Cancelled
2508;Application_54405635;20;User_24;13;Limit raise;Other, see explanation;6000.0;A_Cancelled
2509;Application_54405635;0;User_24;13;Limit raise;Other, see explanation;6000.0;A_Cancelled
2510;Application_54405635;12;User_24;13;Limit raise;Other, see explanation;6000.0;A_Cancelled
