;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
1778;Application_268676496;4;User_1;1132;New credit;Car;5500.0;A_Pending
1779;Application_268676496;8;User_1;1132;New credit;Car;5500.0;A_Pending
1780;Application_268676496;3;User_1;1132;New credit;Car;5500.0;A_Pending
1781;Application_268676496;20;User_15;1132;New credit;Car;5500.0;A_Pending
1782;Application_268676496;0;User_15;1132;New credit;Car;5500.0;A_Pending
1783;Application_268676496;12;User_15;1132;New credit;Car;5500.0;A_Pending
1784;Application_268676496;13;User_15;1132;New credit;Car;5500.0;A_Pending
1785;Application_268676496;15;User_15;1132;New credit;Car;5500.0;A_Pending
1786;Application_268676496;18;User_15;1132;New credit;Car;5500.0;A_Pending
1787;Application_268676496;2;User_15;1132;New credit;Car;5500.0;A_Pending
1788;Application_268676496;12;User_4;1132;New credit;Car;5500.0;A_Pending
1789;Application_268676496;13;User_4;1132;New credit;Car;5500.0;A_Pending
1790;Application_268676496;15;User_4;1132;New credit;Car;5500.0;A_Pending
1791;Application_268676496;12;User_4;1132;New credit;Car;5500.0;A_Pending
1792;Application_268676496;13;User_4;1132;New credit;Car;5500.0;A_Pending
1793;Application_268676496;16;User_4;1132;New credit;Car;5500.0;A_Pending
1794;Application_268676496;12;User_7;1132;New credit;Car;5500.0;A_Pending
1795;Application_268676496;13;User_7;1132;New credit;Car;5500.0;A_Pending
1796;Application_268676496;15;User_7;1132;New credit;Car;5500.0;A_Pending
1797;Application_268676496;24;User_116;1132;New credit;Car;5500.0;A_Pending
1798;Application_268676496;9;User_116;1132;New credit;Car;5500.0;A_Pending
1799;Application_268676496;14;User_116;1132;New credit;Car;5500.0;A_Pending
1800;Application_268676496;19;User_100;1132;New credit;Car;5500.0;A_Pending
1801;Application_268676496;6;User_100;1132;New credit;Car;5500.0;A_Pending
1802;Application_268676496;10;User_113;1132;New credit;Car;5500.0;A_Pending
1803;Application_268676496;7;User_113;1132;New credit;Car;5500.0;A_Pending
2321;Application_1252717204;4;User_3;1135;New credit;Existing loan takeover;20600.0;A_Pending
2322;Application_1252717204;20;User_3;1135;New credit;Existing loan takeover;20600.0;A_Pending
2323;Application_1252717204;3;User_3;1135;New credit;Existing loan takeover;20600.0;A_Pending
2324;Application_1252717204;0;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2325;Application_1252717204;12;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2326;Application_1252717204;13;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2327;Application_1252717204;12;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2328;Application_1252717204;13;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2329;Application_1252717204;15;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2330;Application_1252717204;15;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2331;Application_1252717204;18;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2332;Application_1252717204;2;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2333;Application_1252717204;12;User_8;1135;New credit;Existing loan takeover;20600.0;A_Pending
2334;Application_1252717204;13;User_8;1135;New credit;Existing loan takeover;20600.0;A_Pending
2335;Application_1252717204;15;User_8;1135;New credit;Existing loan takeover;20600.0;A_Pending
2336;Application_1252717204;12;User_2;1135;New credit;Existing loan takeover;20600.0;A_Pending
2337;Application_1252717204;13;User_2;1135;New credit;Existing loan takeover;20600.0;A_Pending
2338;Application_1252717204;15;User_2;1135;New credit;Existing loan takeover;20600.0;A_Pending
2339;Application_1252717204;24;User_68;1135;New credit;Existing loan takeover;20600.0;A_Pending
2340;Application_1252717204;9;User_113;1135;New credit;Existing loan takeover;20600.0;A_Pending
2341;Application_1252717204;14;User_113;1135;New credit;Existing loan takeover;20600.0;A_Pending
2342;Application_1252717204;10;User_68;1135;New credit;Existing loan takeover;20600.0;A_Pending
2343;Application_1252717204;7;User_68;1135;New credit;Existing loan takeover;20600.0;A_Pending
4546;Application_722397148;4;User_1;576;New credit;Car;14500.0;A_Pending
4547;Application_722397148;8;User_1;576;New credit;Car;14500.0;A_Pending
4548;Application_722397148;3;User_1;576;New credit;Car;14500.0;A_Pending
4549;Application_722397148;20;User_15;576;New credit;Car;14500.0;A_Pending
4550;Application_722397148;0;User_15;576;New credit;Car;14500.0;A_Pending
4551;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4552;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4553;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4554;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4555;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4556;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4557;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4558;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4559;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4560;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4561;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4562;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4563;Application_722397148;18;User_15;576;New credit;Car;14500.0;A_Pending
4564;Application_722397148;2;User_15;576;New credit;Car;14500.0;A_Pending
4565;Application_722397148;24;User_68;576;New credit;Car;14500.0;A_Pending
4566;Application_722397148;9;User_112;576;New credit;Car;14500.0;A_Pending
4567;Application_722397148;14;User_112;576;New credit;Car;14500.0;A_Pending
4568;Application_722397148;19;User_68;576;New credit;Car;14500.0;A_Pending
4569;Application_722397148;6;User_68;576;New credit;Car;14500.0;A_Pending
4570;Application_722397148;24;User_24;576;New credit;Car;14500.0;A_Pending
4571;Application_722397148;9;User_24;576;New credit;Car;14500.0;A_Pending
4572;Application_722397148;10;User_117;576;New credit;Car;14500.0;A_Pending
4573;Application_722397148;7;User_117;576;New credit;Car;14500.0;A_Pending
6899;Application_22095206;4;User_108;1158;New credit;Car;15000.0;A_Pending
6900;Application_22095206;20;User_108;1158;New credit;Car;15000.0;A_Pending
6901;Application_22095206;3;User_108;1158;New credit;Car;15000.0;A_Pending
6902;Application_22095206;0;User_108;1158;New credit;Car;15000.0;A_Pending
6903;Application_22095206;12;User_108;1158;New credit;Car;15000.0;A_Pending
6904;Application_22095206;13;User_108;1158;New credit;Car;15000.0;A_Pending
6905;Application_22095206;15;User_108;1158;New credit;Car;15000.0;A_Pending
6906;Application_22095206;18;User_108;1158;New credit;Car;15000.0;A_Pending
6907;Application_22095206;2;User_108;1158;New credit;Car;15000.0;A_Pending
6908;Application_22095206;12;User_5;1158;New credit;Car;15000.0;A_Pending
6909;Application_22095206;13;User_5;1158;New credit;Car;15000.0;A_Pending
6910;Application_22095206;15;User_5;1158;New credit;Car;15000.0;A_Pending
6911;Application_22095206;12;User_4;1158;New credit;Car;15000.0;A_Pending
6912;Application_22095206;13;User_4;1158;New credit;Car;15000.0;A_Pending
6913;Application_22095206;15;User_4;1158;New credit;Car;15000.0;A_Pending
6914;Application_22095206;24;User_90;1158;New credit;Car;15000.0;A_Pending
6915;Application_22095206;9;User_112;1158;New credit;Car;15000.0;A_Pending
6916;Application_22095206;14;User_112;1158;New credit;Car;15000.0;A_Pending
6917;Application_22095206;19;User_115;1158;New credit;Car;15000.0;A_Pending
6918;Application_22095206;6;User_115;1158;New credit;Car;15000.0;A_Pending
6919;Application_22095206;12;User_35;1158;New credit;Car;15000.0;A_Pending
6920;Application_22095206;13;User_35;1158;New credit;Car;15000.0;A_Pending
6921;Application_22095206;15;User_35;1158;New credit;Car;15000.0;A_Pending
6922;Application_22095206;14;User_119;1158;New credit;Car;15000.0;A_Pending
6923;Application_22095206;24;User_119;1158;New credit;Car;15000.0;A_Pending
6924;Application_22095206;9;User_119;1158;New credit;Car;15000.0;A_Pending
6925;Application_22095206;10;User_90;1158;New credit;Car;15000.0;A_Pending
6926;Application_22095206;7;User_90;1158;New credit;Car;15000.0;A_Pending
8165;Application_63970219;4;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8166;Application_63970219;20;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8167;Application_63970219;3;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8168;Application_63970219;0;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8169;Application_63970219;12;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8170;Application_63970219;13;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8171;Application_63970219;15;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8172;Application_63970219;18;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8173;Application_63970219;2;User_31;189;New credit;Other, see explanation;10000.0;A_Pending
8174;Application_63970219;12;User_85;189;New credit;Other, see explanation;10000.0;A_Pending
8175;Application_63970219;13;User_85;189;New credit;Other, see explanation;10000.0;A_Pending
8176;Application_63970219;15;User_85;189;New credit;Other, see explanation;10000.0;A_Pending
8177;Application_63970219;12;User_28;189;New credit;Other, see explanation;10000.0;A_Pending
8178;Application_63970219;13;User_28;189;New credit;Other, see explanation;10000.0;A_Pending
8179;Application_63970219;15;User_28;189;New credit;Other, see explanation;10000.0;A_Pending
8180;Application_63970219;24;User_68;189;New credit;Other, see explanation;10000.0;A_Pending
8181;Application_63970219;9;User_113;189;New credit;Other, see explanation;10000.0;A_Pending
8182;Application_63970219;14;User_113;189;New credit;Other, see explanation;10000.0;A_Pending
8183;Application_63970219;19;User_68;189;New credit;Other, see explanation;10000.0;A_Pending
8184;Application_63970219;6;User_68;189;New credit;Other, see explanation;10000.0;A_Pending
8185;Application_63970219;10;User_113;189;New credit;Other, see explanation;10000.0;A_Pending
8186;Application_63970219;7;User_113;189;New credit;Other, see explanation;10000.0;A_Pending
9412;Application_899505410;4;User_1;1172;New credit;Existing loan takeover;5000.0;A_Pending
9413;Application_899505410;8;User_1;1172;New credit;Existing loan takeover;5000.0;A_Pending
9414;Application_899505410;21;User_2;1172;New credit;Existing loan takeover;5000.0;A_Pending
9415;Application_899505410;20;User_2;1172;New credit;Existing loan takeover;5000.0;A_Pending
9416;Application_899505410;3;User_2;1172;New credit;Existing loan takeover;5000.0;A_Pending
9417;Application_899505410;0;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9418;Application_899505410;12;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9419;Application_899505410;13;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9420;Application_899505410;12;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9421;Application_899505410;13;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9422;Application_899505410;12;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9423;Application_899505410;13;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9424;Application_899505410;15;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9425;Application_899505410;15;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9426;Application_899505410;15;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9427;Application_899505410;18;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9428;Application_899505410;2;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
9429;Application_899505410;11;User_35;1172;New credit;Existing loan takeover;5000.0;A_Pending
